Dusun,English,Type,Malay,Category,Variants
"3:00 AM","3:00 AM",noun,"3:00 AM","time, events & quantities",
"4:00 PM","4:00 PM",noun,"4:00 PM","time, events & quantities",
"""Amu oku insan nokoongoi doh hilo,"" simbar dih John","“I have never been there,” John replied",sentence,"“Saya tidak pernah ke sana,” jawab John",dialog,
"""Amu oku sotuju,"" ka dih Mary","“I don’t agree,” Mary said",sentence,"“Saya tidak bersetuju,” kata Mary",dialog,
"""Apanat oku,"" ka dih John","“I am tired,” John said",sentence,"“Saya letih,” kata John",dialog," "
"""Apatut mamanau noh yati nondo,"" ka dih John","“We should leave now,” John said",sentence,"“Kita patut pergi sekarang,” kata John",dialog,
"""Karaati ko ii?"" nuhot dih sigu","“Do you understand?” the teacher asked",sentence,"“Adakah kamu faham?” tanya guru itu",dialog,
"""lohowon ku iya tiinu,"" simbar dau","“I will call you later,” he answered",sentence,"“Saya akan menelefon kamu kemudian,” jawabnya",dialog,
"""Nokuro tu' alambat ko?"" nuhot dau yau","“Why are you late?” she asked him",sentence,"“Kenapa kamu lambat?” dia bertanya kepadanya",dialog,
"""Nombo ngoyon nu,"" nuhot dih Mary","“Where are you going?” Mary asked",sentence,"“Ke mana kamu pergi?” tanya Mary",dialog,
"""Rumulan ii,"" ka dih mama dau","“Please be careful,” his mother said",sentence,"“Tolong berhati-hati,” kata ibunya",dialog,
"""Tahakon dih Mary ti bunga,"" ka dih John","""Give these flowers to Mary,"" said John.",sentence,"""berikan bunga ini kepada Mary,"" kata John",declarative,
"""Uhupan tia,"" janji dih Mary","“I will help you,” Mary promised",sentence,"“Saya akan membantu kamu,” janji Mary",dialog,
"3 toun","3 years",phrase,"3 tahun",,
aadang,balanced,adjective,seimbang,descriptive,
aadil,"just, fair",adjective,adil,personal,
"aadil pertimbangan","fair judgement",phrase,"pengadilan yang adil",,
"aadil pinabagi doh sumber","resources are allocated fairly",sentence,"sumber diagihkan secara adil",declarative,
aaga,estimate,verb,dianggar,"stative (object)",ajangka
aaga,anticipate,verb,dijangka,"stative (object)",ajangka
"aaga nu piro tulun hiti suang?","can you estimate how many people are inside?",sentence,"dapat kamu anggarkan jumlah manusia di dalam?",interrogative,
aagab,"in a hurry",adjective,tergesa-gesa,,
"aagab-agab tomod oku ti","I am really in a rush",sentence,"saya tergesa-gesa betul ini",declarative,
aagat,heavy,adjective,berat,descriptive,awagat
"aagat ko tomod. amu oku kobuntut diya","you are too heavy. I cannot lift you",sentence,"kamu terlampau berat. saya tidak dapat mengangkat kamu",declarative,
aaii,"able to finish",adjective,"boleh dihabiskan",general,aawi
aakan,edible,adjective,"boleh dimakan",descriptive,
"aakan ii iti sada ti?","is this fish edible?",sentence,"adakah ikan ini boleh dimakan?",interrogative,
"aakan ii ti manuk ti?","is this chicken edible?",sentence,"adakah ayam ini boleh dimakan?",interrogative,
"aakan ti linso doh pulutan?","can these cempedak seeds be eaten?",sentence,"biji cempedak ini boleh dimakankah?",interrogative,
aala,lose,verb,kalah,"stative (object)",
"aala oku nopo om onuan ku iya doh tusin","if I lose, I will give you money",sentence,"kalau saya kalah, saya akan bagi kamu duit",declarative,
aalus,smooth,adjective,halus,descriptive,
aalus,smooth,adjective,licin,descriptive,
aaman,peaceful,adjective,aman,personal,
"aaman ii Sabah dih guulu poh","Sabah was once a peaceful place",sentence,"Sabah suatu ketika dulu adalah tempat yang aman",declarative,
aandad,"same time",adverb,serentak,,
aandadan,"can be waited",verb,"boleh ditunggu","stative (object)",
aansaman,"tastes sour",,"terasa masam",,
aantakan,"at the same time",adverb,"masa yang sama",,
aanu,"able to be taken",adjective,"boleh diambil",descriptive,orikot
"aanu nu ih tusin nu hilo'd biing?","are you able to withdraw your money from the bank?",sentence,"kamu dapat keluarkan duit kamu dari bank?",interrogative,
aapal,"able to be memorized",adjective,"boleh dihafal",descriptive,apaham
"aapal dih John ih buuk","John is able to memorize the book",sentence,"John dapat menghafal buku itu",declarative,
aaraban,"to be spattered",verb,ditaburi,"stative (object)",
"aaraban takano ku doh roun","my rice is sprinkled with leaves",sentence,"nasi saya ditaburi oleh daun",declarative,
aarau-arau,hastily,adverb,"tergesa-gesa / terburu-buru",,
aasi,legal,adjective,sah,general,
aasi',delicious,adjective,sedap,descriptive,"darasi, osidap"
aawal,early,adjective,awal,descriptive,
"aawal ko'd minosik baino?","did you wake up early today?",sentence,"kamu bangun awal hari ini?",interrogative,
"aawal nokorikot tongo tulun kumaraja kosuabon baino","workers arrived early this morning",sentence,"pekerja tiba awal pagi ini",declarative,
"aawal notutup ih kadai. iri noh sabab minongoi yahai tampat suai","the store was closed early. as a result, we went elsewhere",sentence,"kedai itu tutup awal. akibatnya, kami pergi ke tempat lain",declarative,
"aawal oku minodop","I slept early",sentence,"saya tidur awal",declarative,
"aawal oku mosik monikid tadau","I wake up early everday",sentence,"saya bangun awal setiap hari",declarative,
"aawal pinalabus ih banduan","the prisoner was released early",sentence,"banduan itu dibebaskan lebih awal",declarative,
"aawal sorouku korikot yau","she may arrive early",sentence,"dia mungkin tiba awal",declarative,
"aawal tomod ti kadai otutup","this shop closes so early",sentence,"awal betul kedai ini tutup",declarative,
"aawal yahai nakaasok toun baino tu' nokouli ih John minuhup dahai","we finished planting rice early this year because John came back to help us",sentence,"kami awal siap menanam padi tahun ini sebab John balik untuk membantu kami",declarative,
"aawal yau tuminongkiad mantad upis","he left the office early",sentence,"dia meninggalkan pejabat awal",declarative,
"aawal-awal rumikot, oowian tokou doh takano","come a bit earlier, or we’ll run out of rice later",sentence,"awal sikit datang, nanti kita kehabisan nasi",declarative,
"abaal tomod ih John","John is very smart",adjective,"Apuk sangat pintar",sentence,
ababak,breakable,adjective,"boleh dipecahkan",descriptive,
ababang,"lit up",adjective,bercahaya,descriptive,
ababasan,bored,adjective,bosan,personal,apaasan
ababasan,tired,adjective,penat,personal,apaasan
"ababasan oku mandad dia","I feel bored waiting for you",sentence,"saya bosan menunggu kamu",declarative,
ababat,"able to mow",adjective,"boleh ditebas",descriptive,
ababo,"able to be carried",adjective,"boleh diangkat",descriptive,akakat
abagalan,enough,adjective,cukup,general,osukup
abalantas,eloquent,adjective,fasih,general,
abanar,correct,adjective,benar,general,"otopot, otulid"
abandak,"bright (light)",adjective,terang,descriptive,atarang
abangat,full,adjective,kenyang,general,ayahan
"abangat noh tokou mangakan doh timadang baino","this time we’ll be full from eating tarap",sentence,"ini kali kita akan kenyang makan tarap",declarative,
"abangga yolo dih pancapaian dau","they are proud of her achievements",sentence,"mereka bangga dengan pencapaiannya",declarative,
abantalan,next,adjective,depan,general,orikatan
abantalan,meet,adjective,jumpa,general,orubaan
abantalan,future,noun,"masa hadapan","time, events & quantities",orikatan
abantug,popular,adjective,popular,general,
abantug,glory,adjective,terpujilah,personal,omulia
"abantug kinorohingan tokou","our God is great",sentence,"Tuhan kita Maha Besar",declarative,
"abarakatan kasari tulun tosonong boh","good people are always blessed",sentence,"orang yang baik selalu diberkati",declarative,
abarani,brave,adjective,berani,general,asangal
"abarani ko mangakan doh buntol?","are you brave enough to eat puffer fish?",sentence,"adakah kamu cukup berani memakan ikan buntal?",interrogative,
"abarani ko sumoborong ilo baang?","are you brave enough to cross the river?",sentence,"adakah kamu cukup berani menyeberangi sungai?",interrogative,
"abarani tomod sawo nu","your wife is very brave",sentence,"isteri anda sangat berani",declarative,
abasa,readable,adjective,"boleh dibaca",descriptive,
abasagi,square,adjective,"segi empat sama",descriptive,ampatsagi
"abayang dau masa dapan dih osonong","he imagines a brighter future",sentence,"dia membayangkan masa depan yang lebih cerah",declarative,
adalaan,"too much",adjective,berlebihan,general,
"adalaan tomod kolombon ilo tasu","the dog is too fat",sentence,"anjing itu terlampau gemuk",declarative,
"adamot yolo nokorikot","they arrived at the same time",sentence,"mereka tiba pada masa yang sama",declarative,
adangki,jealous,adjective,dengki,personal,osolon
adaras,strong,adjective,deras,general,okuat
agaan,"light (weight)",adjective,ringan,descriptive,
"agaan opurimanan ku ti kasut","these shoes feel very light",sentence,"kasut ini terasa sangat ringan",declarative,
agaang,"can be cracked",verb,"boleh retak","stative (object)",
agaasan,"able to be done",verb,"boleh dilakukan","stative (object)",
agaasan,able,adjective,mampu,general,
agagas,skinny,adjective,kurus,descriptive,agahui
"agagas tomod ilo tungau nu Mary","your cat is so skinny  Mary",sentence,"kucing kamu terlampau kurus Mary",declarative,
agahui,skinny,adjective,kurus,descriptive,agagas
agahui,thin,adjective,kurus,descriptive,agagas
"agahui noh tungau ku tu amu nakaakan tolu tadau","my cat is thin because he hasn't eaten for three days",sentence,"kucing saya kurus sebab tidak makan selama tiga hari",declarative,
"agahui oku","I am skinny",sentence,"saya kurus",declarative,
agambit,"able to be caught",adjective,"boleh ditangkap",general,
agampot,reachable,adjective,"boleh dicapai",general,orikot
agampot,reach,verb,"boleh dijangkau","stative (object)",orikot
agangau,noisy,adjective,bising,descriptive,"ohiou, obising"
"agangau ih bilik; nga osipat oku nokoodop","the room was noisy; nevertheless, he slept quickly",sentence,"bilik itu bising; namun begitu, dia cepat tidur",declarative,
"agangau oku dih?","am I noisy?",sentence,"bisingkah saya?",,
"agangau tomod ko","you are too noisy",sentence,"kau bising betul",,
aganol,elastic,adjective,kenyal,descriptive,alanog
agantai,"can be lifted",verb,"boleh diangkat","stative (object)",akakat
"agaon noh kopio nombo tiso ukabon nu","figure out exactly which one you want to open",sentence,"agak betul-betul mana satu yang kamu hendak buka",declarative,
agara,noisy,adjective,riuh,descriptive,agangau
agarang,fierce,adjective,garang,personal,
agarot,"hoarse voice",adjective,"serak suara",descriptive,
"agarot boros ku nadalaan minggiak kosodop","my voice is hoarse from screaming too much last night",sentence,"suara saya serak sebab terlampau menjerit semalam",declarative,
agaso,funny,adjective,lucu,personal,
agayat,"can be pulled",adjective,"boleh ditarik",descriptive,atarik
"agayat ti tali mantad ngoduo-duo tompok","the rope can be pulled from either side",sentence,"tali ini boleh ditarik dari kedua-dua hujung",declarative,
agayo,big,adjective,besar,descriptive,
agayo,huge,adjective,besar,descriptive,
"agayo bida sabab doh tusin","money can make a big difference",sentence,"wang boleh membuat perbezaan yang besar",declarative,
"agayo ginawo","very honoured",phrase,"berbesar hati",,
"agayo ih gaji doh bumba?","is the salary of a firefighter high?",sentence,"besarkah gaji seorang pegawai bomba?",interrogative,
"agayo kinamanangan dih John tu ogumu tulun asanangan dau","John’s victory was big because many people like him",sentence,"besar kemenangan John sebab ramai orang menyukainya",declarative,
"agayo ko nopo, kada lihuai kumakap di molohing nu hilo'd kampung","when you grow up, don't forget to visit your parents in the village",sentence,"bila kamu besar nanti, jangan lupa lawat ibubapa di kampung",declarative,
"agayo kuasa",powerful,adjective,berkuasa,descriptive,
"agayo mato nu","your eyes are big",sentence,"mata kamu besar",declarative,
"agayo nopo tonggoom nu, om ologod noh tutumbuk","if your grip is big, it means the punch is strong",sentence,"kalau genggaman kamu besar, bermakna tumbukan adalah kuat",declarative,
"agayo oku nopo, orohian oku jumadi luyar","when I grow up, I want to be a lawyer",sentence,"bila saya besar nanti, saya mahu jadi seorang peguam",declarative,
"agayo paranan doh molohing doh momoguno boros Dusun hilo'd walai monikid tadau","parents play a big role by using dusun naturally at home every day",sentence,"ibu bapa memainkan peranan besar dengan menggunakan bahasa dusun secara semula jadi di rumah setiap hari",declarative,
"agayo ranahon dih Mary hilo'd kampung","Mary has a big paddy field in the village",sentence,"Mary mempunyai tanah sawah yang luas di kampung",declarative,
"agayo sala tulun mangakal doh wokon","it is a serious wrongdoing to deceive others",sentence,"besar kesalahannya menipu orang lain",declarative,
"agayo tomod lisi ku kumaa diya","my love for you is very great",sentence,"cinta saya sama kau sangat besar",declarative,
"agayo tomod luyud toun baino","the  flood is big this year",sentence,"besar banjir tahun ini",declarative,
"agayo tomod nakan dih Mary. tolu piring nga amu kosukup","Mary eats a lot,  even three plates are not enough",sentence,"sungguh besar Mary makan, tiga piring pun tidak mencukupi",declarative,
"agayo tulu",boasting,verb,"berlagak, temberang",,
ahaba,"able to collapse",verb,"boleh rebah / tumbang","stative (object)",
ahadan,"going to faint",verb,pengsan,"stative (object)",opingsan
"ahadan oku moti yoho sumakai kapal","I will faint when I get on a plane",sentence,"saya akan pengsan bila naik kapal terbang",declarative,
ahakon,"being led while walking",verb,"dipimpin berjalan",,
ahandaman,remember,verb,ingat,,
"ahandaman nu hinombo pinoilihan nu dih kunsi kurita?","can you remember where you put the car key?",sentence,"kamu dapat ingat di mana kamu letak kunci kereta itu?",interrogative,
"ahandaman nu ii?","do you remember?",sentence,"boleh kamu ingat?",interrogative,
ahapakan,youth,adjective,remaja,general,omulok
aharap,hopefully,verb,berharap,,
"aharap oku asalamat ko korikot","hope you arrive safely",sentence,"semoga kau selamat sampai",declarative,
"aharap oku barakatan ko'd Kinorohingan","may God bless you",sentence,"semoga Tuhan memberkati kamu",declarative,
"aharap oku doh abarakatan ko kasari","I hope you are always blessed",sentence,"saya harap kamu selalu diberkati",declarative,
"aharap oku dot otood ko gosom gisom","may you be happy forever",sentence,"semoga kamu bahagia selama-lamanya",declarative,
"aharap oku injoy ko ti sodopon","have a nice evening",sentence,"semoga petang ini seronok",declarative,
"aharap oku koposion nu noponu doh kotoodon","may your life be filled with joy ","sentence ","semoga hidup kamu dipenuhi dengan kegembiraan",declarative,
"aharap oku olumis ih maso nu totuong baino","have a good night",sentence,"semoga malam ini indah bagi mu",,
"aharap oku ongosihat ngaii ih koluarga nu","may your family stay healthy",sentence,"semoga keluarga kamu sentiasa sihat",declarative,
"aharap oku osihat ko kasari","I hope you are always healthy",sentence,"saya harap kamu sentiasa sihat",declarative,
"aharap oku osonong pongindalanan nu","have a nice trip","sentence ","semoga perjalanan kau seronok",declarative,
"aharap oku osonong-sonong ko","I hope you are fine",sentence,"saya harap kamu baik-baik saja",declarative,
"aharap oku otood ko'd gisom-gisom","may you be happy forever",sentence,"semoga kau bahagia selama-lamanya",declarative,
"aharap yahai mangan timbango ti pormuhunan","we hope this request will be considered",sentence,"kami berharap permohonan ini dipertimbangkan",declarative,
"aharap yati supaya kaanu yati koputusan cemerlang id poporisaan","we hope we will get excellent result in the exam",sentence,"kita harap kita akan mendapat keputusan yang cemerlang dalam peperiksaan",declarative,
ahata,"fresh (fish)",adjective,mentah,descriptive,mata'
ahau,"take by force","verb ",rampas,root,ohou
ahid,"abrade / rub against","verb ",kikis,root,
ais,ice,noun,ais,nature,
aisbuk,refrigerator,noun,"peti ais","objects & tools",
aiso,without,preposition,tanpa,,inggaa
aiso,none,determiner,tiada,,inggaa
aiso,"doesn't have",verb,tiada,,inggaa
"aiso alasan, mositi noh yau mokimaap","no excuse, he must apologize",sentence,"tiada alasan, dia mesti minta maaf",declarative,
"aiso asas ih totondos","the accusation is baseless",sentence,"tuduhan itu tidak berasas",declarative,
"aiso balas kosian nu?","don’t you feel any sympathy?",sentence,"tiada belas kesian ka kau ini?",,
"aiso bida","no difference",phrase,"tiada beza",,
"aiso bida ti kurita doh Gipun om Sina ","there is no difference between Japanese and Chinese cars",sentence,"tiada bezanya kereta Jepun dan China",declarative,
"aiso bida tokito ku","I can't see the difference",sentence,"saya tidak dapat lihat perbezaannya",declarative,
"aiso birik","no brake",phrase,"tiada brek",,
"aiso birik","brake not functioning",phrase,"tiada brek",,
"aiso boh",none,phrase,"tiada bah",,
"aiso cita-cita ku ti. momutung gata noh oilaan ti","I have no ambitions. I only know how to tap rubber",sentence,"saya tiada cita-cita. saya hanya pandai menoreh getah ",declarative,
"aiso dahai pakaraja kocuali ih tapa dahai","none of us are working except our father",sentence,"semua kami tidak bekerja kecuali ayah kami",declarative,
"aiso guno",useless,phrase,"tiada guna",,
"aiso guno","no use",phrase,"tiada guna",,
"aiso guno ilo tasu, amu milo mongusig","this dog is useless, it doesn’t know how to bark",sentence,"tiada guna anjing ini; dia tidak pandai menyalak",declarative,
"aiso guno manasal, nakatalib noh","there’s no point regretting it; it’s already in the past",sentence,"tiada guna menyesal; ia sudah berlalu",declarative,
"aiso guno salait aiso botiri","a flashlight without batteries is useless",sentence,"lampu picit tanpa bateri adalah tidak berguna",declarative,
"aiso haal","no problem",phrase,"tiada masalah",,
"aiso haal alambat pia","tidak mengapa jika kamu lewat",sentence,"it’s okay if you are late",declarative,
"aiso haal doh mokitulung doh wokon","it's okay to ask for help",sentence,"tidak mengapa  minta pertolongan dari orang lain",declarative,
"aiso haal kumaa dati","it has no effect on us",sentence,"ia tiada kesan kepada kita",declarative,
"aiso haal untuk doh nondo","it's okay for now",sentence,"tidak mengapa buat masa ini",declarative,
"aiso haal, orotihan ku ih","tidak mengapa, saya faham",sentence,"it’s okay, I understand",declarative,
"aiso haal, umbalan poh koimbagu","tidak mengapa, kamu boleh cuba lagi",sentence,"it’s okay, you can try again",declarative,
"aiso harapan","no hope",phrase,"tiada harapan",,
"aiso hoon kurita ku","my car doesn’t have a horn",sentence,"kereta saya tiada hon",declarative,
"aiso hurmat",disrespect,phrase,"tidak hormat",,
"aiso hurmat dih poboroson dau","his words were disrespectful",sentence,"kata katanya tidak menghormati",declarative,
"aiso ii minokinongou doho","no one has listened to me",sentence,"tiada yang telah mendengar saya",declarative,
"aiso jaam ku","I have no watch",sentence,"saya tiada jam",declarative,
"aiso jondila sansag nu","your wall has no windows",sentence,"dinding kamu tiada tingkap",declarative,
"aiso kaala konolokiso doh John songira mimbuul","no one can beat John's agility when playing football",sentence,"tiada yang boleh mengalahkan ketangkasan John bila main bola",,
"aiso kaitan dih duo kiis","there is no relation between the two cases",sentence,"tiada hubungan antara dua kes itu",declarative,
"aiso kanto karan ti tu' otuong noh","maybe there's no electricity here because it's dark",sentence,"mungkin tiada elektrik ini sebab gelap",declarative,
"aiso kanto tusin dih John","perhaps John has no money",sentence,"mungkin John tiada duit",declarative,
"aiso karaja","no job",phrase,"saya tiada kerja",,
"aiso karan baino","no power today",sentence,"tiada letrik hari ini",declarative,
"aiso katadning",unmatched,phrase,"tidak tertanding",,
"aiso kobulihan ku suai-suai","I have no other abilities",sentence,"saya tiada kebolehan lainu",declarative,
"aiso komungkinan",unlikely,phrase,"tidak mungkin",,
"aiso koruhang dau","she has no companion",sentence,"dia tiada teman",declarative,
"aiso koruhang dau miyon hilo walai tagayo","he has no friends living in that big house",sentence,"dia tiada kawan tinggal di rumah besar itu",declarative,
"aiso koruhang ku muli","no one is accompanying me home",sentence,"tiada teman saya balik",declarative,
"aiso kurita dau","he doesn't have a car",sentence,"dia tiada kereta",declarative,
"aiso kurita ku","I don't have a car",sentence,"saya tiada kereta",declarative,
"aiso masa dahai rumihat, okon-okon poh malansung","we don’t have time to rest, let alone travel",sentence,"kami pun tiada masa untuk berehat, apatah lagi melancong",declarative,
"aiso masa nu mamalayan doho doh somimit pia?","don’t you have even a minute to spare for me?",sentence,"kamu tiada masa mau layan saya walau seminit pun?",interrogative,
"aiso minomoduli","no one cared",sentence,"tiada yang memperdulikan",declarative,
"aiso minongoruhang doho","nobody accompanied me",sentence,"tiada yang temankan saya",declarative,
"aiso minonimbar doho","nobody answered me",sentence,"tiada yang menjawab saya",declarative,
"aiso momoduli","no one cares",sentence,"tiada yang peduli",declarative,
"aiso monimbar doho","no one is answering me",sentence,"tiada yang menjawab saya",declarative,
"aiso nasip","no luck",sentence,"tiada nasib",declarative,
"aiso nasip ku tu nokopili oku sumandak aiso nipon","I was unfortunate because I had chosen a girl with no teeth",sentence,"saya tidak bernasib baik sebab telah terpilih gadis yang tiada gigi",declarative,
"aiso nipon sumandak nu","your girlfriend has no teeth",sentence,"teman wanita kamu tiada gigi",declarative,
"aiso no kamaluan dau boh gisom hilo'd pia sikul nga mimpalak ih","he has no sense of shame at all and even shouted at school",sentence,"dia tidak kenal malu langsung malah menjerit-jerit di sekolah",declarative,
"aiso nogi tusin om mimboli ko'd henpon wagu. momorutum  ko tomod dati","we’re already broke, and you’re buying a new phone again. you’re seriously worsening our situation",sentence,"sudahlah tiada duit, kamu beli lagi telefon bimbit baru. kamu betul-betul memburukkan keadaan kita",declarative,
"aiso noh","finished already",phrase,"tiada sudah",,
"aiso noh","no more",phrase,"tiada sudah",,
"aiso noh bohiton",flawless,phrase,"tiada kekurangan",,
"aiso noh bunga ilo tayar nu","the tread on your car tire is worn out",sentence,"tayar kereta kamu sudah habis bunga",declarative,
"aiso noh dii kurita ku","I no longer have a car",sentence,"saya tiada lagi kereta",declarative,
"aiso noh harapon tokou doh suai","there’s nothing else we can hope for",sentence,"tiada sudah lain yang  kita harapkan",declarative,
"aiso noh kopio rongod dau","indeed he has no brain",sentence,"memang dia tiada otak",declarative,
"aiso noh poboroson ku","there’s nothing more I want to say",sentence,"tiada apa-apa lagi yang hendak saya katakan",declarative,
"aiso noh pokionuon ku mantad diya","I don't want anything more from you",sentence,"saya tiada mahu apa-apa lagi dari kamu",declarative,
"aiso noh sumandak ku","I don’t have a girlfriend anymore",sentence,"saya tidak lagi mempunya teman wanita",declarative,
"aiso noh tontolu hiri'd suang doh gigimpuan. naakan noh doh tulanut soroku","there are no more eggs in the hen's nest. maybe the snake has eaten them",sentence,"tiada sudah telur di tempat ayam bertelur. mungkin sudah dimakan ular",declarative,
"aiso nopo bukti doh ojilas om amu apatut pokoroon toko ih iso-iso risiko","without strong evidence, a risk should not be underestimated",sentence,"tanpa bukti kukuh, sesuatu risiko tidak wajar diperkecilkan",declarative,
"aiso nopo lisi, aiso guno poimpasi","if there's no love, there's no purpose in living",sentence,"kalau tiada kasih, tiada guna hidup",declarative,
"aiso nopo masalah, potilombuson ih ransangan","unless there is a problem, the plan will continue",sentence,"kecuali ada masalah, rancangan itu akan diteruskan",declarative,
"aiso nopo nipon nu inan om mokionsoi noh doh gigi palsu","if you don’t have teeth, you can get dentures",sentence,"kalau kamu tiada gigi, bolehlah minta buat gigi palsu",declarative,
"aiso nopo tambalut, koposion dati miagal doh kara sumbang","without friends, our life is like that of a social outcast",sentence,"tanpa sahabat hidup kita ibarat kera sumbang",declarative,
"aiso nopo tusin nu om muli nopo","if you don't have money, you'd better go home",sentence,"kalau tiada duit lebih baik kamu balik rumah",declarative,
"aiso norubaan ku","I didn’t meet anyone",sentence,"saya tidak menjumpai sesiapa",declarative,
"aiso nunu noigitan ku kocuali dangol","I didn’t bring anything except a machete",sentence,"saya tidak bawa apa-apa kecuali parang",declarative,
"aiso nunu tinungkusan ku mantad dih molohing ku","I inherited nothing from my parents",sentence,"tiada apa-apa yang saya warisi dari orang tua saya",declarative,
"aiso otutunan ku","I don’t recognise anyone",sentence,"saya tidak mengenali sesiapa",declarative,
"aiso pen ku","I don't have a pen",sentence,"saya tiada pen",declarative,
"aiso poh","none yet",phrase,"belum ada lagi",,
"aiso poh boifren ku","I don't have a boyfriend yet",sentence,"saya belum ada teman lelaki",declarative,
"aiso poh karaja noihum ku","I haven't been able to find a job yet",sentence,"saya belum dapat cari kerja lagi",declarative,
"aiso poh kurita dih John","John doesn't have a car yet",sentence,"John belum ada kereta lagi",declarative,
"aiso poh tooh ti durian om jualan noh diyolo","this durian doesn't smell yet, but they are already selling it",sentence,"durian ini belum berbau tetapi mereka sudah menjualnya",declarative,
"aiso poh tulun nokorikot","no one has arrived yet",sentence,"belum ada orang yang sampai lagi",declarative,
"aiso poh tulun nokorikot","no one has arrived yet",sentence,"belum ada sesiapa yang sampai",declarative,
"aiso pongunsasamod ku dih tanak nu","I have no way to console your child",sentence,"saya tiada cara untuk memujuk anak anda",declarative,
"aiso poomitan notombian ku","there is no example that I found",sentence,"tiada contoh yang saya jumpai",declarative,
"aiso porubahan","no changes",phrase,"aiso perubahan",,
"aiso puh jadual waktu dahai. igitan ku ngaii buku teks ku","we don't have a timetable yet. I will bring all the textbooks",sentence,"belum ada jadual waktu kami. saya akan bawa semua buku teks",declarative,
"aiso raki tobuk ku sabab mamakai oku tumau piasau","I don't have dandruff on my hair because I use coconut oil",sentence,"saya tiada kelemumur di rambut sebab saya pakai minyak kelapa",declarative,
"aiso rasam ponong hilo'd kotonobon doh tadau","there is no rain in the west",sentence,"tiada hujan di sebelah barat",declarative,
"aiso saas henpon ku","my cellphone has no charge",sentence,"telefon bimbit saya tiada caj",declarative,
"aiso salah",innocent,phrase,"tidak bersalah",,
"aiso sansag doh kuta","without a city wall",sentence,"tanpa tembok kota",declarative,
"aiso sarat pokionuon ku","I am not asking for any conditions",sentence,"saya tidak minta apa-apa syarat",declarative,
"aiso sawo dih John","John doesn't have a wife",sentence,"Johan tiada isteri",declarative,
"aiso soripal dih tina mongoi jamban","mother doesn't wear slippers to the toilet",sentence,"emak tidak pakai selipar ke tandas",declarative,
"aiso suang",empty,phrase,kosong,,
"aiso suang dih akaun ku","my account is empty",sentence,"akaun saya tiada isi",declarative,
"aiso sumandak kasanangan ku","there is no girl I like",sentence,"tiada gadis yang saya suka",declarative,
"aiso sumandak ku","I don't have a girlfriend",sentence,"saya tidak mempunyai teman wanita",declarative,
"aiso sumimbar doho","no one is answering me",sentence,"tiada sesiapa yang menjawab saya",declarative,
"aiso suminimbar doho","no one answered me",sentence,"tiada sesiapa yang menjawab saya",declarative,
"aiso tambalut","no friends",phrase,"tiada rakan",,
"aiso tanaga ku ","I don't have any energy",sentence,"tiada tenaga saya",declarative,
"aiso tanaga ku monunsur","I don't have energy to push",sentence,"saya tiada tenaga untuk menyorong",declarative,
"aiso timpu ku mimbuul","I don’t have time to play football",sentence,"saya tiada masa untuk bermain bola",declarative,
"aiso tiso apatut pomoluon hilo'd karajaon","no one should be humiliated at the workplace",sentence,"tiada siapa patut dimalukan di tempat kerja",declarative,
"aiso tiso koilo dih kotopoton","no one knows the truth",sentence,"tiada sesiapa yang tahu kebenaran",declarative,
"aiso tiso pia purujik ih pinabatos dih YB nokoindalan","not a single project promised by the YB was carried out",sentence,"tiada satupun projek yang dijanjikan oleh YB dilaksanakan",declarative,
"aiso tiso ponongkuanon ku dokou","I don’t believe any of you",sentence,"saya  tidak percaya satu orang pun dari kamu",declarative,
"aiso tiso tulun koomit dih kopintaro dau","no one can match his intelligence",sentence,"tiada seorang pun yang dapat ikut kepintarannya",declarative,
"aiso tobuk",hairless,phrase,"tiada rambut",,
"aiso toilaan nu","you don’t know anything",sentence,"kamu tidak tahu apa-apa",declarative,
"aiso tomod timbangrasa dau tu miningangau yau doh pitanga sodop","it was very inconsiderate of him to make so much noise late at night",sentence,"sangat tidak bertimbang rasa dia membuat bising lewat malam",declarative,
"aiso tontok ku hiti pomogunan","I have no soulmate in this world",sentence,"saya tiada jodoh di dunia ini",declarative,
"aiso toongoi-ongoi doh hiti ko nogi walai monikid tadau yoh","you won't get anywhere if you just stay at home every day",sentence,"kamu tidak akan ke mana-mana kalau kamu tinggal di rumah saja setiap hari",declarative,
"aiso tulun",nobody,phrase,"tiada orang",,
"aiso tulun angasanangan dih John tu koontut nopo hiri'd kalas","no one likes John because he always farts in class",sentence,"tiada orang suka John sebab dia selalu kentut dalam kelas",declarative,
"aiso tulun katahan di sikap osolon nu","no one can stand your jealousy",sentence,"tiada orang tahan dengan sikap cemburu kamu",declarative,
"aiso tulun kohondom dih ngaran ku","no one remembers my name",sentence,"tiada sesiapapun yang ingat nama saya",declarative,
"aiso tulun koilo","nobody knows",sentence,"tiada orang yang tahu",declarative,
"aiso tulun koilo","nobody knows",sentence,"tiada orang yang tahu",declarative,
"aiso tulun koilo hinombo kinapataion dih taki di John","No one knows where John's grandpa died",sentence,"tiada orang yang tahu di mana datuk si John meninggal dunia",declarative,
"aiso tulun mangambalut dih Mary sabab aiso tusin dau","no one wants to be friends with Mary because she has no money",sentence,"tiada orang yang ingin bersahabat dengan Mary sebab dia tiada duit",declarative,
"aiso tulun mokinongou dau","no one listens to him",sentence,"tiada yang mendengar dia",declarative,
